Designator,Comment,Description,Footprint,LibRef,Quantity,Value,UniqueIdName,Fitted

"Astropix_chip","AstroPix_chip_full","","Astropix_Chip_w_bondpads_1mm_distance_125u _final","AstroPix_chip_full","0","","HCVIQTYM","Not Fitted"
"bond_Ref1, bond_Ref2, bond_Ref3, bond_Ref4","AimStar","","AimStar","AimStar","0","","OZUFHGXE, EWUJUZOG, JTUXEHGS, TFTZCSXY","Not Fitted"
"Camp1, Camp2, Ccfa2, Ccfa4, Clvds1, Clvds2","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","6","100nF","HLWJNXAE, VEKZRHGP, YNVVGMDB, CZYXDOVH, WBYBDZHM, QOFEZFVZ","Fitted"
"Ccfa1, Ccfa3","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","2","4.7uF","VWOGJTIF, MHCRKHSP","Fitted"
"Chv1, Chv2, Chv3","Cap Semi","Capacitor (Semiconductor SIM Model)","C1210","Cap Semi","3","100pF","ELTMTLFI, OCJLOVRB, DMKAVYQJ","Fitted"
"Cvdd1, Cvdd2, Cvdd3, Cvddd1, Cvddd2, Cvddd3, Cvss1, Cvss2, Cvss3","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","9","100pF","BLIVTEAW, UGYERBRT, BJHDYGHE, FWGZBVPV, NMBZNPWV, MYCTTUZG, OYGNVGRQ, BTFFFIXZ, QPBMPXUY","Fitted"
"J1, J2, J3, J4, Jhv","COAX-F","RF Coaxial PCB Connector, MCX; Thru-Hole, Right-Angle Mount Socket, Blunt Post Terminal, 50 Ohm Impedance","MCX5.08-H5","COAX-F","5","","ZQCILRLL, HMNOEVUW, TBDOSJRQ, ULZHJSDL, UUNLWBFL","Fitted"
"P1","Header 4","Header, 4-Pin","HDR1X4","Header 4","0","","NVAKLJPL","Not Fitted"
"P2","Header 5","Header, 5-Pin","HDR1X5","Header 5","0","","OSCNDMBF","Not Fitted"
"Pamp1, Pamp2, Pamp3, Pamp4","Header 2","Header, 2-Pin","HDR1X2","Header 2","0","","TDTWFZBZ, TEGKIKNW, CWOKBFNR, VISADOFW","Not Fitted"
"PCI","PCI_custom_98_GECCO","","PCI_for_PCB_98","PCI_custom_98_GECCO","0","","JIUWNGTL","Not Fitted"
"R1, R2, R3, R4, R6, R7, R8, R9, R11, R12, Rpd","Res3","Resistor","J1-0603","Res3","11","10K","ACCNXPFU, DWJOEKDR, CARCWNUV, CZZARUFJ, ITVRNSTJ, JAVQLJPQ, XGUANJDK, WLVDOTVS, HIFZCGOD, FORKWCNR, LYSIOPBO","Fitted"
"Rfb1, Rfb2, Rfb3, Rfb4, Rinput3, Rinput4, Rpad1","Res3","Resistor","J1-0603","Res3","7","1k","QSTWWJVC, HKGQLJQA, KMYHRRUS, EZTJTOCR, WOPGHUCS, EXWUBIFR, ZQQNNBGM","Fitted"
"Rg3, Rg4","Res3","Resistor","J1-0603","Res3","2","493","NBNLDVGB, OTSFPLAP","Fitted"
"Rhv1","Res3","Resistor","14-1210","Res3","1","1k","BBPUVPKQ","Fitted"
"Riso1, Riso2","Res3","Resistor","J1-0603","Res3","2","47","JYBXLGIR, RPQXTCKA","Fitted"
"Riso3, Riso4, Rterm","Res3","Resistor","J1-0603","Res3","3","100","QSPOEMXV, QUGBIGAV, WIAKMMAX","Fitted"
"U1","SN65LVDS4","1.8-V High-Speed  Differential  Line Receiver","SN65LVDS4RSER","SN65LVDS4","1","","MNWFTKUO","Fitted"
"Uamp1, Uamp2","OPA320","","SOT95P245X110-5N","OPA320","2","","ICPAQGPL, HWDXZBTF","Fitted"
"Ucfa","AD8024","","SOIC127P600X265-16N","AD8024","1","","TKIZFGGS","Fitted"
"VDD_JP, VDDD_JP, VSS_JP","Header 3","Header, 3-Pin","HDR1X3","Header 3","3","","MMIZNGBR, YXCPBYBQ, IMVGNGFD","Fitted"
