Designator,Comment,Description,Footprint,LibRef,Quantity,Value,UniqueIdName

"Astropix_chip","AstroPix_chip_full","","Astropix_Chip_w_bondpads_1mm_distance_125u _final","AstroPix_chip_full","1","","HCVIQTYM"
"bond_Ref1","AimStar","","AimStar","AimStar","1","","OZUFHGXE"
"bond_Ref2","AimStar","","AimStar","AimStar","1","","EWUJUZOG"
"bond_Ref3","AimStar","","AimStar","AimStar","1","","JTUXEHGS"
"bond_Ref4","AimStar","","AimStar","AimStar","1","","TFTZCSXY"
"J1","COAX-F","RF Coaxial PCB Connector, MCX; Thru-Hole, Right-Angle Mount Socket, Blunt Post Terminal, 50 Ohm Impedance","MCX5.08-H5","COAX-F","1","","ZQCILRLL"
"J2","COAX-F","RF Coaxial PCB Connector, MCX; Thru-Hole, Right-Angle Mount Socket, Blunt Post Terminal, 50 Ohm Impedance","MCX5.08-H5","COAX-F","1","","HMNOEVUW"
"J3","COAX-F","RF Coaxial PCB Connector, MCX; Thru-Hole, Right-Angle Mount Socket, Blunt Post Terminal, 50 Ohm Impedance","MCX5.08-H5","COAX-F","1","","TBDOSJRQ"
"J4","COAX-F","RF Coaxial PCB Connector, MCX; Thru-Hole, Right-Angle Mount Socket, Blunt Post Terminal, 50 Ohm Impedance","MCX5.08-H5","COAX-F","1","","ULZHJSDL"
"Jhv","COAX-F","RF Coaxial PCB Connector, MCX; Thru-Hole, Right-Angle Mount Socket, Blunt Post Terminal, 50 Ohm Impedance","MCX5.08-H5","COAX-F","1","","UUNLWBFL"
"P1","Header 4","Header, 4-Pin","HDR1X4","Header 4","1","","NVAKLJPL"
"P2","Header 5","Header, 5-Pin","HDR1X5","Header 5","1","","OSCNDMBF"
"Pamp1","Header 2","Header, 2-Pin","HDR1X2","Header 2","1","","TDTWFZBZ"
"Pamp2","Header 2","Header, 2-Pin","HDR1X2","Header 2","1","","TEGKIKNW"
"Pamp3","Header 2","Header, 2-Pin","HDR1X2","Header 2","1","","CWOKBFNR"
"Pamp4","Header 2","Header, 2-Pin","HDR1X2","Header 2","1","","VISADOFW"
"PCI","PCI_custom_98_GECCO","","PCI_for_PCB_98","PCI_custom_98_GECCO","1","","JIUWNGTL"
"U1","SN65LVDS4","1.8-V High-Speed  Differential  Line Receiver","SN65LVDS4RSER","SN65LVDS4","1","","MNWFTKUO"
"Uamp1","OPA320","","SOT95P245X110-5N","OPA320","1","","ICPAQGPL"
"Uamp2","OPA320","","SOT95P245X110-5N","OPA320","1","","HWDXZBTF"
"Ucfa","AD8024","","SOIC127P600X265-16N","AD8024","1","","TKIZFGGS"
"VDD_JP","Header 3","Header, 3-Pin","HDR1X3","Header 3","1","","MMIZNGBR"
"VDDD_JP","Header 3","Header, 3-Pin","HDR1X3","Header 3","1","","YXCPBYBQ"
"VSS_JP","Header 3","Header, 3-Pin","HDR1X3","Header 3","1","","IMVGNGFD"
"Rfb1","Res3","Resistor","J1-0603","Res3","1","1k","QSTWWJVC"
"Rfb2","Res3","Resistor","J1-0603","Res3","1","1k","HKGQLJQA"
"Rfb3","Res3","Resistor","J1-0603","Res3","1","1k","KMYHRRUS"
"Rfb4","Res3","Resistor","J1-0603","Res3","1","1k","EZTJTOCR"
"Rhv1","Res3","Resistor","14-1210","Res3","1","1k","BBPUVPKQ"
"Rinput3","Res3","Resistor","J1-0603","Res3","1","1k","WOPGHUCS"
"Rinput4","Res3","Resistor","J1-0603","Res3","1","1k","EXWUBIFR"
"Rpad1","Res3","Resistor","J1-0603","Res3","1","1K","ZQQNNBGM"
"Ccfa1","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","1","4.7uF","VWOGJTIF"
"Ccfa3","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","1","4.7uF","MHCRKHSP"
"Rpd","Res3","Resistor","J1-0603","Res3","1","10k","LYSIOPBO"
"R1","Res3","Resistor","J1-0603","Res3","1","10K","ACCNXPFU"
"R2","Res3","Resistor","J1-0603","Res3","1","10K","DWJOEKDR"
"R3","Res3","Resistor","J1-0603","Res3","1","10K","CARCWNUV"
"R4","Res3","Resistor","J1-0603","Res3","1","10K","CZZARUFJ"
"R6","Res3","Resistor","J1-0603","Res3","1","10K","ITVRNSTJ"
"R7","Res3","Resistor","J1-0603","Res3","1","10K","JAVQLJPQ"
"R8","Res3","Resistor","J1-0603","Res3","1","10K","XGUANJDK"
"R9","Res3","Resistor","J1-0603","Res3","1","10K","WLVDOTVS"
"R11","Res3","Resistor","J1-0603","Res3","1","10K","HIFZCGOD"
"R12","Res3","Resistor","J1-0603","Res3","1","10K","FORKWCNR"
"Riso1","Res3","Resistor","J1-0603","Res3","1","47","JYBXLGIR"
"Riso2","Res3","Resistor","J1-0603","Res3","1","47","RPQXTCKA"
"Riso3","Res3","Resistor","J1-0603","Res3","1","100","QSPOEMXV"
"Riso4","Res3","Resistor","J1-0603","Res3","1","100","QUGBIGAV"
"Rterm","Res3","Resistor","J1-0603","Res3","1","100","WIAKMMAX"
"Camp1","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","1","100nF","HLWJNXAE"
"Camp2","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","1","100nF","VEKZRHGP"
"Ccfa2","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","1","100nF","YNVVGMDB"
"Ccfa4","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","1","100nF","CZYXDOVH"
"Clvds1","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","1","100nF","WBYBDZHM"
"Clvds2","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","1","100nF","QOFEZFVZ"
"Chv1","Cap Semi","Capacitor (Semiconductor SIM Model)","C1210","Cap Semi","1","100pF","ELTMTLFI"
"Chv2","Cap Semi","Capacitor (Semiconductor SIM Model)","C1210","Cap Semi","1","100pF","OCJLOVRB"
"Chv3","Cap Semi","Capacitor (Semiconductor SIM Model)","C1210","Cap Semi","1","100pF","DMKAVYQJ"
"Cvdd1","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","1","100pF","BLIVTEAW"
"Cvdd2","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","1","100pF","UGYERBRT"
"Cvdd3","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","1","100pF","BJHDYGHE"
"Cvddd1","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","1","100pF","FWGZBVPV"
"Cvddd2","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","1","100pF","NMBZNPWV"
"Cvddd3","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","1","100pF","MYCTTUZG"
"Cvss1","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","1","100pF","OYGNVGRQ"
"Cvss2","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","1","100pF","BTFFFIXZ"
"Cvss3","Cap Semi","Capacitor (Semiconductor SIM Model)","1608[0603]","Cap Semi","1","100pF","QPBMPXUY"
"Rg3","Res3","Resistor","J1-0603","Res3","1","493","NBNLDVGB"
"Rg4","Res3","Resistor","J1-0603","Res3","1","493","OTSFPLAP"
